Travel_Route,Year,Year_text,Visitors_on_Holiday,Visitors_on_Business,Visitors_in_Transit,Other_Visitors,Quater,Results_Status,OBJECTID
Departures,09/30/2005 12:00:00 AM,2005,279300,54800,19500,43700,Q3,Actual,194
Departures,12/31/2012 12:00:00 AM,2012,289400,47800,18400,28500,Q4,Actual,195
Departures,09/30/2006 12:00:00 AM,2006,274900,59900,27500,45800,Q3,Actual,196
Departures,03/31/2013 12:00:00 AM,2013,264000,51700,21400,33800,Q1,Actual,197
Departures,09/30/2007 12:00:00 AM,2007,352600,63800,33000,48100,Q3,Actual,198
Departures,06/30/2013 12:00:00 AM,2013,206800,57100,17300,26800,Q2,Actual,199
Departures,09/30/2008 12:00:00 AM,2008,251500,31900,17700,15500,Q3,Actual,200
Departures,09/30/2013 12:00:00 AM,2013,265700,40500,20200,44400,Q3,Actual,201
Departures,09/30/2009 12:00:00 AM,2009*,282000,40100,32100,44000,Q3,Preliminary ,202
Departures,12/31/2013 12:00:00 AM,2013,323300,53000,23200,32600,Q4,Actual,203
Departures,12/31/1991 12:00:00 AM,1991,142800,16400,12600,1100,Q4,Actual,204
Departures,12/31/1992 12:00:00 AM,1992,61800,16300,9400,1300,Q4,Actual,205
Departures,12/31/1993 12:00:00 AM,1993,113600,30000,17300,2400,Q4,Actual,206
Departures,12/31/1994 12:00:00 AM,1994,123400,32600,18800,2600,Q4,Actual,207
